landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
64C_11;64C;2011;12;enclos;64C_11_enclos;dry;dry_64C_11_enclos;23;-1.754913;12.537595;32;8;1.051458527;50;40;0.313;0.207;57;0.327
64C_11;64C;2011;12;open;64C_11_open;dry;dry_64C_11_open;23;-1.754234;12.535206;19;5;1.087074156;0;0;0.217;0.207;57;0.327
64C_11;64C;2011;12;woody;64C_11_woody;dry;dry_64C_11_woody;25;-1.752502;12.537166;27;5;1.188009244;10;10;0.247;0.207;57;0.327
65C_11;65C;2011;12;enclos;65C_11_enclos;dry;dry_65C_11_enclos;30;-1.738483;12.488278;23;7;1.075027463;50;30;0.272;0.208;59;0.296
65C_11;65C;2011;12;open;65C_11_open;dry;dry_65C_11_open;27;-1.736484;12.489264;14;4;0.89820534;0;0;0.167;0.208;59;0.296
65C_11;65C;2011;12;woody;65C_11_woody;dry;dry_65C_11_woody;32;-1.735566;-12.4888;22;7;1.382156419;20;30;0.193;0.208;59;0.296
66C_11;66C;2011;12;enclos;66C_11_enclos;dry;dry_66C_11_enclos;29;-1.730113;12.493317;19;8;1.017164351;70;20;0.319;0.224;38;0.335
66C_11;66C;2011;12;open;66C_11_open;dry;dry_66C_11_open;26;-1.731873;12.490795;7;4;0.955699891;0;0;0.18;0.224;38;0.335
66C_11;66C;2011;12;woody;66C_11_woody;dry;dry_66C_11_woody;22;-1.728476;12.490522;29;10;1.327131432;30;10;0.209;0.224;38;0.335
67C_11;67C;2011;12;enclos;67C_11_enclos;dry;dry_67C_11_enclos;30;-1.746732;12.56292;41;12;1.161836654;50;60;0.343;0.189;0;0.296
67C_11;67C;2011;12;open;67C_11_open;dry;dry_67C_11_open;21;-1.749179;12.56296;21;7;1.073831323;0;0;0.134;0.189;0;0.296
67C_11;67C;2011;12;woody;67C_11_woody;dry;dry_67C_11_woody;24;-1.748805;12.565205;33;9;0.585952618;50;60;0.19;0.189;0;0.296
71C_11;71C;2011;12;enclos;71C_11_enclos;dry;dry_71C_11_enclos;22;-1.404819;12.727941;17;7;1.202278802;40;40;0.301;0.217;109;0.333
71C_11;71C;2011;12;open;71C_11_open;dry;dry_71C_11_open;15;-1.403038;12.725308;10;4;0.801818553;0;0;0.186;0.217;109;0.333
71C_11;71C;2011;12;woody;71C_11_woody;dry;dry_71C_11_woody;16;-1.402908;12.729106;14;5;0.693147181;10;10;0.253;0.217;109;0.333
74C_11;74C;2011;12;enclos;74C_11_enclos;dry;dry_74C_11_enclos;29;-1.85497;12.314832;30;11;1.037097316;40;10;0.252;0.211;10;0.269
74C_11;74C;2011;12;open;74C_11_open;dry;dry_74C_11_open;24;-1.853137;12.313015;6;4;0.636514168;10;40;0.182;0.211;10;0.269
74C_11;74C;2011;12;woody;74C_11_woody;dry;dry_74C_11_woody;29;-1.852616;12.315329;21;11;1.022083051;10;10;0.264;0.211;10;0.269
75C_12;75C;2012;11;enclos;75C_12_enclos;dry;dry_75C_12_enclos;32;-1.8149;12.303632;39;16;1.374964614;40;50;0.311;0.236;0;0.28
75C_12;75C;2012;11;open;75C_12_open;dry;dry_75C_12_open;21;-1.817921;12.304932;22;4;0.304636097;60;40;0.233;0.236;0;0.28
75C_12;75C;2012;11;woody;75C_12_woody;dry;dry_75C_12_woody;22;-1.817995;12.302775;31;12;1.203072041;50;40;0.262;0.236;0;0.28
77C_12;77C;2012;11;enclos;77C_12_enclos;dry;dry_77C_12_enclos;24;-1.827766;12.308311;37;9;1.312502013;0;0;0.369;0.229;116;0.274
77C_12;77C;2012;11;open;77C_12_open;dry;dry_77C_12_open;26;-1.825967;12.307259;4;2;0;0;0;0.062;0.229;116;0.274
77C_12;77C;2012;11;woody;77C_12_woody;dry;dry_77C_12_woody;25;-1.828524;12.30629;29;11;0.91013473;10;20;0.407;0.229;116;0.274
89C_13;89C;2013;10;enclos;89C_13_enclos;dry;dry_89C_13_enclos;23;-1.850648;12.322994;29;7;1.068483591;10;40;0.238;0.22;165;0.307
89C_13;89C;2013;10;open;89C_13_open;dry;dry_89C_13_open;17;-1.8499;12.325269;11;4;0.600166073;40;20;0.211;0.22;165;0.307
89C_13;89C;2013;10;woody;89C_13_woody;dry;dry_89C_13_woody;22;-1.84842;12.323733;24;9;1.292030131;20;40;0.231;0.22;165;0.307
94C_13;94C;2013;10;enclos;94C_13_enclos;dry;dry_94C_13_enclos;26;-1.762664;12.568745;21;8;1.052922566;60;50;0.265;0.19;46;0.333
94C_13;94C;2013;10;open;94C_13_open;dry;dry_94C_13_open;18;-1.761257;12.564993;12;2;1.308605387;0;0;0.165;0.19;46;0.333
94C_13;94C;2013;10;woody;94C_13_woody;dry;dry_94C_13_woody;25;-1.76305;12.566105;20;6;1.010412754;40;20;0.229;0.19;46;0.333
98C_14;98C;2014;9;enclos;98C_14_enclos;dry;dry_98C_14_enclos;29;-1.884751;12.328606;24;8;1.320888343;40;50;0.341;0.228;52;0.288
98C_14;98C;2014;9;open;98C_14_open;dry;dry_98C_14_open;22;-1.882564;12.328371;5;4;0.673011667;0;0;0.244;0.228;52;0.288
98C_14;98C;2014;9;woody;98C_14_woody;dry;dry_98C_14_woody;24;-1.881821;12.325806;18;9;1.185820313;0;0;0.292;0.228;52;0.288
107C_15;107C;2015;8;enclos;107C_15_enclos;post rainy;post rainy_107C_15_enclos;29;-1.880168;12.313636;22;6;0.907535294;80;200;0.602;0.525;17;0.281
107C_15;107C;2015;8;open;107C_15_open;post rainy;post rainy_107C_15_open;21;-1.878214;12.311769;10;4;0.610864302;60;40;0.445;0.525;17;0.281
107C_15;107C;2015;8;woody;107C_15_woody;post rainy;post rainy_107C_15_woody;17;-1.877597;12.313621;19;10;1.090867279;80;30;0.619;0.525;17;0.281
110C_15;110C;2015;8;enclos;110C_15_enclos;post rainy;post rainy_110C_15_enclos;22;-1.779091;12.560464;65;10;1.28795308;10;10;0.491;0.421;83;0.26
110C_15;110C;2015;8;open;110C_15_open;post rainy;post rainy_110C_15_open;16;-1.781824;12.558482;14;6;1.116367075;10;30;0.383;0.421;83;0.26
110C_15;110C;2015;8;woody;110C_15_woody;post rainy;post rainy_110C_15_woody;21;-1.780242;12.558293;32;6;0.233791659;20;30;0.355;0.421;83;0.26
113C_15;113C;2015;8;enclos;113C_15_enclos;post rainy;post rainy_113C_15_enclos;25;-1.412166;12.736937;28;7;1.245243249;40;60;0.669;0.53;59;0.326
113C_15;113C;2015;8;open;113C_15_open;post rainy;post rainy_113C_15_open;24;-1.411501;12.734766;7;7;1.078992208;10;20;0.493;0.53;59;0.326
113C_15;113C;2015;8;woody;113C_15_woody;post rainy;post rainy_113C_15_woody;19;-1.409348;12.735905;25;11;1.217598842;70;30;0.674;0.53;59;0.326
114C_15;114C;2015;8;enclos;114C_15_enclos;post rainy;post rainy_114C_15_enclos;28;-1.410829;12.722137;18;8;1.167937368;90;200;0.741;0.51;20;0.283
114C_15;114C;2015;8;open;114C_15_open;post rainy;post rainy_114C_15_open;29;-1.408464;12.724743;7;6;0.598269589;60;50;0.484;0.51;20;0.283
114C_15;114C;2015;8;woody;114C_15_woody;post rainy;post rainy_114C_15_woody;21;-1.411793;12.724502;3;3;0.636514168;30;40;0.477;0.51;20;0.283
117C_16;117C;2016;7;enclos;117C_16_enclos;post rainy;post rainy_117C_16_enclos;27;-1.523844;12.636158;50;10;1.234877561;80;100;0.687;0.508;0;0.282
117C_16;117C;2016;7;open;117C_16_open;post rainy;post rainy_117C_16_open;26;-1.524634;12.638171;7;3;1.004242473;10;20;0.124;0.508;0;0.282
117C_16;117C;2016;7;woody;117C_16_woody;post rainy;post rainy_117C_16_woody;23;-1.522573;12.637567;60;8;1.067738859;50;20;0.482;0.508;0;0.282
11C_05;11C;2005;18;enclos;11C_05_enclos;post rainy;post rainy_11C_05_enclos;20;-1.739772;12.541312;48;9;1.222839477;10;30;0.641;0.472;94;0.278
11C_05;11C;2005;18;open;11C_05_open;post rainy;post rainy_11C_05_open;17;-1.738618;12.543446;9;5;0.936888308;10;50;0.374;0.472;94;0.278
11C_05;11C;2005;18;woody;11C_05_woody;post rainy;post rainy_11C_05_woody;18;-1.737602;12.540739;24;9;0.982281505;40;20;0.473;0.472;94;0.278
121C_16;121C;2016;7;enclos;121C_16_enclos;post rainy;post rainy_121C_16_enclos;31;-1.732668;12.522401;56;14;1.365599051;70;100;0.687;0.482;0;0.324
121C_16;121C;2016;7;open;121C_16_open;post rainy;post rainy_121C_16_open;21;-1.7324;12.520131;10;6;1.054920168;20;30;0.433;0.482;0;0.324
121C_16;121C;2016;7;woody;121C_16_woody;post rainy;post rainy_121C_16_woody;20;-1.73007;12.521123;31;10;0.984704327;60;20;0.616;0.482;0;0.324
36C_08;36C;2008;15;enclos;36C_08_enclos;post rainy;post rainy_36C_08_enclos;28;-1.722056;12.505681;19;10;1.311716659;80;100;0.63;0.516;119;0.315
36C_08;36C;2008;15;woody;36C_08_woody;post rainy;post rainy_36C_08_woody;24;-1.723291;12.50392;25;8;0.830028239;40;30;0.508;0.516;119;0.315
39C_10;39C;2010;13;enclos;39C_10_enclos;post rainy;post rainy_39C_10_enclos;24;-1.25893;12.663125;8;6;0.562335145;70;80;0.689;0.452;84;0.274
